"",customerid,churn_probability
2691,3312-UUMZW,0.522592
2692,1271-UODNO,0.045683
2693,8461-EFQYM,0.033772
2694,6900-RBKER,0.165660
2695,6891-JPYFF,0.294375
2696,1459-QNFQT,0.020458
2697,1047-NNCBF,0.374774
2698,3696-XRIEN,0.068335
2699,0074-HDKDG,0.102841
2700,8791-GFXLZ,0.308747
2701,9330-DHBFL,0.064351
2702,0098-BOWSO,0.086212
2703,3452-ABWRL,0.428755
2704,5859-HZYLF,0.006754
2705,3156-QLHBO,0.166105
2706,2208-NQBCT,0.214949
2707,1779-PWPMG,0.075479
2708,6621-NRZAK,0.002923
2709,0831-JNISG,0.002839
2710,0774-IFUVM,0.136639
2711,3082-WQRVY,0.056419
2712,9553-DLCLU,0.037695
2713,1641-BYBTK,0.111103
2714,2460-NGXBJ,0.402693
2715,2446-ZKVAF,0.257620
2716,3522-CDKHF,0.339638
2717,1430-SFQSA,0.042917
2718,0411-EZJZE,0.596459
2719,8807-ARQET,0.266081
2720,8992-CEUEN,0.266770
2721,4320-QMLLA,0.300241
2722,8777-PVYGU,0.068071
2723,8292-ITGYJ,0.005031
2724,6870-ZWMNX,0.031647
2725,0621-CXBKL,0.004839
2726,5268-DSMNQ,0.202081
2727,5334-JLAXU,0.270988
2728,6242-MBHPK,0.568860
2729,9359-UGBTK,0.052453
2730,4782-OSFXZ,0.017017
2731,6479-OAUSD,0.025932
2732,7129-ACFOG,0.333704
2733,4189-NAKJS,0.136587
2734,5562-BETPV,0.069289
2735,1282-IHQAC,0.085990
2736,9127-FHJBZ,0.014437
2737,1641-RQDAY,0.437841
2738,6994-ORCWG,0.138528
2739,1346-UFHAX,0.392623
2740,2933-XEUJM,0.032073
2741,5461-QKNTN,0.494028
2742,4835-YSJMR,0.045139
2743,3164-YAXFY,0.176215
2744,0887-WBJVH,0.224370
2745,4660-IRIBM,0.335592
2746,7670-ZBPOQ,0.056636
2747,8089-UZWLX,0.142272
2748,0080-OROZO,0.267154
2749,3916-NRPAP,0.613440
2750,6807-SIWJI,0.323070
2751,8221-HVAYI,0.024879
2752,5232-NXPAY,0.041627
2753,8967-SZQAS,0.276542
2754,4468-KAZHE,0.387169
2755,0455-ENTCR,0.014195
2756,8944-AILEF,0.115458
2757,5542-NKVRU,0.009673
2758,7126-RBHSD,0.402978
2759,5370-IIVVL,0.291210
2760,6789-HJBWG,0.339219
2761,9087-EYCPR,0.004644
2762,6791-YBNAK,0.129973
2763,6077-BDPXA,0.699414
2764,0013-MHZWF,0.150793
2765,8268-YDIXR,0.134230
2766,4291-SHSBH,0.681674
2767,6980-IMXXE,0.002898
2768,0040-HALCW,0.003139
2769,0784-GTUUK,0.017130
2770,2294-DMMUS,0.107011
2771,0872-JCPIB,0.179621
2772,3055-MJDSB,0.397031
2773,9091-WTUUY,0.018086
2774,7115-IRDHS,0.004067
2775,8496-DMZUK,0.123185
2776,2040-VZIKE,0.436479
2777,9068-VPWQQ,0.020674
2778,0178-SZBHO,0.219881
2779,0384-RVBPI,0.181602
2780,1299-AURJA,0.002970
2781,4525-VZCZG,0.020749
2782,1543-LLLFT,0.198582
2783,2788-CJQAQ,0.042700
2784,0319-QZTCO,0.225902
2785,2120-SMPEX,0.079012
2786,0096-FCPUF,0.210384
2787,0668-OGMHD,0.252413
2788,6507-ZJSUR,0.575380
2789,9408-HRXRK,0.329252
2790,5593-SUAOO,0.043355
2791,6766-HFKLA,0.162848
2792,7617-EYGLW,0.264186
2793,9220-ZNKJI,0.138068
2794,2226-ICFDO,0.024336
2795,0723-VSOBE,0.123385
2796,5529-GIBVH,0.005882
2797,9992-UJOEL,0.514429
2798,4741-WWJQZ,0.746252
2799,6625-UTXEW,0.370337
2800,6244-BESBM,0.009795
2801,1004-NOZNR,0.011853
2802,1251-STYSZ,0.510503
2803,2612-PHGOX,0.041524
2804,8480-PPONV,0.009746
2805,8780-IHCRN,0.003030
2806,4598-ZADCK,0.066202
2807,1257-SXUXQ,0.105915
2808,9681-KYGYB,0.344125
2809,7182-OVLBJ,0.020440
2810,5095-ETBRJ,0.007759
2811,7005-CYUIL,0.039399
2812,4821-WQOYN,0.002912
2813,4730-AWNAU,0.080334
2814,3452-FLHYD,0.046277
2815,2388-LAESQ,0.075192
2816,9531-NSBMR,0.027524
2817,6260-ONULR,0.572260
2818,4389-UEFCZ,0.159788
2819,8711-LOBKY,0.003086
2820,8985-OOPOS,0.225114
2821,8800-ZKRFW,0.396426
2822,2616-FLVQC,0.003788
2823,9968-FFVVH,0.045856
2824,3108-PCCGG,0.012526
2825,8390-FESFV,0.037684
2826,3022-BEXHZ,0.019107
2827,6248-TKCQV,0.025808
2828,6729-GDNGC,0.446368
2829,6198-ZFIOJ,0.659276
2830,5989-OMNJE,0.118589
2831,1291-CUOCY,0.065505
2832,9795-SHUHB,0.007079
2833,3230-IUALN,0.038496
2834,0042-RLHYP,0.002896
2835,4945-RVMTE,0.268792
2836,1866-NXPSP,0.072502
2837,3941-XTSKM,0.136281
2838,1661-CZBAU,0.069367
2839,5158-RIVOP,0.008562
2840,9788-YTFGE,0.190828
2841,9277-JOOMO,0.248663
2842,1907-YLNYW,0.322538
2843,8947-YRTDV,0.024993
2844,3161-ONRWK,0.052229
2845,0114-RSRRW,0.205413
2846,4565-NLZBV,0.005038
2847,6682-VCIXC,0.077976
2848,6475-VHUIZ,0.157148
2849,3910-MRQOY,0.003697
2850,0661-WCQNQ,0.059855
2851,7537-RBWEA,0.611025
2852,4656-CAURT,0.003881
2853,0121-SNYRK,0.056651
2854,3733-LSYCE,0.577387
2855,6265-FRMTQ,0.010337
2857,2017-CCBLH,0.028438
2858,7690-KPNCU,0.060276
2859,0536-BGFMZ,0.064295
2860,2293-IJWPS,0.239849
2861,5469-NUJUR,0.025094
2862,2625-TRCZQ,0.267394
2863,4102-HLENU,0.008607
2864,7266-GSSJX,0.073855
2865,7722-VJRQD,0.020532
2866,7073-QETQY,0.017121
2867,5624-RYAMH,0.208409
2868,0196-JTUQI,0.642741
2869,7130-YXBRO,0.450553
2870,9272-LSVYH,0.576122
2871,3084-DOWLE,0.011710
2872,1084-MNSMJ,0.013839
2873,4238-HFHSN,0.424641
2874,6250-CGGUN,0.077041
2875,5478-JJVZK,0.176894
2876,7596-IIWYC,0.018456
2877,9793-WECQC,0.416773
2878,4291-HPAXL,0.167494
2879,8999-YPYBV,0.027359
2880,1839-FBNFR,0.005284
2881,3071-MVJCD,0.008533
2882,1697-BCSHV,0.019447
2883,0562-KBDVM,0.007429
2884,1131-SUEKT,0.022824
2885,3717-OEAUQ,0.612552
2886,4538-WNTMJ,0.021141
2887,9432-RUVSL,0.089485
2888,8060-HIWJJ,0.035108
2889,7684-XSZIY,0.002911
2890,9089-UOWJG,0.210769
2891,8039-ACLPL,0.007129
2892,9885-AIBVB,0.540099
2893,1934-MKPXS,0.023485
2894,2592-YKDIF,0.242270
2895,2272-JKMSI,0.040486
2896,8714-CTZJW,0.670222
2897,3569-EDBPQ,0.243465
2898,3131-NWVFJ,0.049870
2899,7521-YXVZY,0.164597
2900,2373-NTKOD,0.414515
2901,1970-KKFWL,0.010500
2902,9337-SRRNI,0.003065
2903,0895-UADGO,0.106027
2904,5678-VFNEQ,0.161670
2905,5977-CKHON,0.358446
2906,2692-BUCFV,0.497200
2907,1830-GGFNM,0.003483
2908,5302-BDJNT,0.346173
2909,5223-UZAVK,0.096178
2910,4859-ZSRDZ,0.048341
2911,5651-WYIPH,0.280871
2912,9350-VLHMB,0.303574
2913,3498-LZGQZ,0.003219
2914,8785-CJSHH,0.484122
2915,3870-SPZSI,0.010015
2916,7560-QRBXH,0.017052
2917,7077-XJMET,0.439945
2918,8752-GHJFU,0.053483
2919,6896-SRVYQ,0.348605
2920,4652-ODEVH,0.003962
2921,6510-UPNKS,0.031638
2922,6718-BDGHG,0.124681
2923,9046-DQMTP,0.048776
2924,6439-LAJXL,0.248950
2925,9052-VKDUW,0.404789
2926,1666-JZPZT,0.222489
2927,5777-KJIRB,0.109703
2928,7677-SJJJK,0.054224
2929,2480-EJWYP,0.246338
2930,3253-HKOKL,0.024749
2931,7055-HNEOJ,0.416250
2932,5514-YQENT,0.019137
2933,3211-AAPKX,0.538261
2934,8445-DNBAE,0.267913
2935,2958-NHPPS,0.074414
2936,6806-YDEUL,0.179347
2937,1735-XMJVH,0.116317
2938,6890-PFRQX,0.205272
2939,0222-CNVPT,0.167022
2940,5899-OUVKV,0.481900
2941,8681-ICONS,0.042512
2942,1621-YNCJH,0.193645
2943,6362-QHAFM,0.376670
2944,3070-BDOQC,0.177643
2945,6234-PFPXL,0.277354
2946,9824-QCJPK,0.023566
2947,4283-IVYCI,0.200830
2948,1866-OBPNR,0.340363
2949,8205-MQUGY,0.167845
2950,8970-ANWXO,0.172119
2951,9480-BQJEI,0.103369
2952,6979-TNDEU,0.151655
2953,9777-WJJPR,0.359177
2954,9495-SKLKD,0.346864
2955,6048-UWKAL,0.158018
2956,5067-DGXLL,0.235597
2957,6281-FKEWS,0.162452
2958,8898-KASCD,0.097312
2959,9242-TKFSV,0.012375
2960,9290-SHCMB,0.586060
2961,0743-HNPFG,0.058590
2962,2277-BKJKN,0.087180
2963,5035-PGZXH,0.322750
2964,8695-WDYEA,0.332940
2965,6543-JXSOO,0.060096
2966,8016-ZMGMO,0.107839
2967,8605-ITULD,0.242304
2968,6416-YJTTB,0.402986
2969,4472-VESGY,0.195899
2970,3195-TQDZX,0.302374
2971,3128-YOVTD,0.191068
2972,1728-CXQBE,0.473194
2973,7041-TXQJH,0.254748
2974,5014-GSOUQ,0.021972
2975,5724-BIDBU,0.075723
2976,0481-SUMCB,0.296587
2977,1769-GRUIK,0.496224
2978,8819-WFGGJ,0.029897
2979,7427-AUFPY,0.004314
2980,2811-POVEX,0.152339
2981,7898-PDWQE,0.008035
2982,9972-EWRJS,0.003155
2983,9314-IJWSQ,0.457688
2984,5799-JRCZO,0.002847
2985,1921-KYSAY,0.135404
2986,6198-RTPMF,0.498878
2987,2924-KHUVI,0.174546
2988,1925-GMVBW,0.150804
2989,6184-DYUOB,0.302896
2990,9207-ZPANB,0.062358
2991,9327-QSDED,0.283187
2992,1656-DRSMG,0.388355
2993,3012-VFFMN,0.103914
2994,2984-AFWNC,0.671635
2995,0640-YJTPY,0.002844
2996,8096-LOIST,0.345522
2997,9764-REAFF,0.004730
2998,7107-UBYKY,0.045209
2999,4881-GQJTW,0.076395
3000,7876-DNYAP,0.002836
3001,7905-NJMXS,0.269780
3002,2882-WDTBA,0.010992
3003,2091-GPPIQ,0.045764
3004,5071-FBJFS,0.163130
3005,2796-UUZZO,0.022775
3006,2429-AYKKO,0.003407
3007,9798-OPFEM,0.009741
3008,3794-NFNCH,0.260299
3009,5193-QLVZB,0.191314
3010,7114-AEOZE,0.004185
3011,5522-NYKPB,0.075879
3012,9957-YODKZ,0.749402
3013,6518-KZXCB,0.017500
3014,2245-ADZFJ,0.066587
3015,7776-QGYJC,0.055980
3016,9313-QOLTZ,0.058988
3017,4672-FOTSD,0.249278
3018,9818-XQCUV,0.237942
3019,7338-ERIVA,0.063474
3020,8259-NFJTV,0.154218
3021,3223-DWFIO,0.663507
3022,6968-GMKPR,0.341526
3023,4751-ERMAN,0.042218
3024,1436-ZMJAN,0.384548
3025,3292-PBZEJ,0.612031
3026,0799-DDIHE,0.190290
3027,3070-FNFZQ,0.006519
3028,2812-SFXMJ,0.167491
3029,5014-WUQMG,0.031600
3030,5312-TSZVC,0.040062
3031,0993-OSGPT,0.085566
3032,7108-DGVUU,0.325259
3033,2782-JEEBU,0.189634
3034,5127-BZENZ,0.057359
3035,2720-FVBQP,0.231900
3036,9906-NHHVC,0.049467
3037,4522-XRWWI,0.067109
3038,3766-EJLFL,0.014307
3039,5939-SXWHM,0.003849
3040,8152-UOBNY,0.331886
3041,7351-KYHQH,0.412704
3042,7643-RCHXS,0.003129
3043,8246-SHFGA,0.069998
3044,0620-XEFWH,0.107700
3045,6485-QXWWE,0.003067
3046,7321-VGNKU,0.727889
3047,5327-CNLUQ,0.111190
3048,7552-KEYGT,0.014900
3049,5816-JMLGY,0.041009
3050,2927-QRRQV,0.263068
3051,6265-SXWBU,0.010774
3052,7941-RCJOW,0.004110
3053,6374-NTQLP,0.009018
3054,2387-KDZQY,0.050269
3055,3584-WKTTW,0.313493
3056,3399-BMLVW,0.007982
3057,1971-DTCZB,0.017193
3058,3374-PZLXD,0.048632
3059,3813-DHBBB,0.012619
3060,2812-REYAT,0.021951
3061,6518-PPLMZ,0.003736
3062,4939-KYYPY,0.138739
3063,5930-GBIWP,0.009869
3064,6022-KOUQO,0.179567
3065,2361-UPSND,0.056673
3066,6035-RIIOM,0.180124
3067,9504-DSHWM,0.129634
3068,5035-BVCXS,0.616923
3069,6267-DCFFZ,0.578387
3070,3533-UVMOM,0.009302
3071,2439-LYPMQ,0.594336
3072,1478-VPOAD,0.514704
3073,9995-HOTOH,0.018257
3074,2988-PLAHS,0.347361
3075,1371-OJCEK,0.018636
3076,4999-IEZLT,0.075724
3077,8883-ANODQ,0.008603
3078,2351-RRBUE,0.065270
3079,5980-BDHPY,0.015806
3080,1498-DQNRX,0.062431
3081,9469-WEJBT,0.455787
3082,2581-VKIRT,0.048697
3083,7426-WEIJX,0.206918
3084,2851-MMUTZ,0.127511
3085,3307-TLCUD,0.246790
3086,6625-FLENO,0.004787
3087,2967-MXRAV,0.069315
3088,8189-HBVRW,0.253831
3089,4163-KIUHY,0.077029
3090,3500-NSDOA,0.032181
3091,1171-TYKUR,0.049750
3092,3761-FLYZI,0.492077
3093,1219-NNDDO,0.695290
3094,8388-DMKAE,0.028702
3095,4403-BWPAY,0.057862
3096,9659-QEQSY,0.232910
3097,5405-ZMYXQ,0.646845
3098,1442-OKRJE,0.020912
3099,4737-AQCPU,0.005946
3100,2808-CHTDM,0.007252
3101,0793-TWELN,0.486587
3102,3283-WCWXT,0.013578
3103,1060-ENTOF,0.239710
3104,0999-QXNSA,0.224449
3105,5451-MHQOF,0.020536
3106,4836-WNFNO,0.003775
3107,9225-BZLNZ,0.023585
3108,0354-VXMJC,0.005595
3109,4422-QVIJA,0.150795
3110,9365-SRSZE,0.511608
3111,8332-OSJDW,0.060755
3112,4735-BJKOU,0.007260
3113,0274-JKUJR,0.184617
3114,5740-YHGTW,0.258521
3115,8917-SZTTJ,0.002976
3116,1696-MZVAU,0.123370
3117,7359-WWYJV,0.040717
3118,4906-ZHGPK,0.110555
3119,3795-GWTRD,0.007534
3120,1298-PHBTI,0.009080
3121,6223-DHJGV,0.023366
3122,6961-MJKBO,0.005841
3123,8158-WPEZG,0.422731
3124,4918-FYJNT,0.301973
3125,0727-BNRLG,0.132384
3126,4854-CIDCF,0.672954
3127,3280-MRDOF,0.070567
3128,6435-SRWBJ,0.682205
3129,9964-WBQDJ,0.004554
3130,6303-KFWSL,0.153431
3131,1702-CCFNJ,0.077611
3132,8932-CZHRQ,0.048401
3133,0386-CWRGM,0.003656
3134,5515-RUGKN,0.343549
3135,0404-AHASP,0.003427
3136,7279-NMVJC,0.038597
3137,2081-VEYEH,0.691149
3138,6407-UTSLV,0.706090
3139,9060-HJJRW,0.116240
3140,2587-YNLES,0.011918
3141,7398-SKNQZ,0.730721
3142,5935-FCCNB,0.633887
3143,1958-RNRKS,0.254993
3144,5136-RGMZO,0.169162
3145,8345-MVDYC,0.026232
3146,8226-BXGES,0.081668
3147,9705-IOVQQ,0.032967
3148,1015-OWJKI,0.240124
3149,2040-XBAVJ,0.007229
3150,8887-IPQNC,0.379447
3151,8646-JCOMS,0.165160
3152,1222-KJNZD,0.036378
3153,0106-GHRQR,0.348717
3154,3768-VHXQO,0.004029
3155,8952-WCVCD,0.303327
3156,2418-TPEUN,0.003410
3157,3963-RYFNS,0.050827
3158,8540-ZQGEA,0.004945
3159,1320-REHCS,0.495941
3160,4137-JOPHL,0.156022
3161,7801-CEDNV,0.043952
3162,2057-BOYKM,0.029491
3163,3658-QQJYD,0.055289
3164,1803-BGNBD,0.357439
3165,0134-XWXCE,0.107083
3166,6950-TWMYB,0.009561
3167,5848-FHRFC,0.003649
3168,2243-FNMMI,0.070126
3169,2511-MORQY,0.096104
3170,5356-KZCKT,0.005669
3171,9470-XCCEM,0.352315
3172,6519-CFDBX,0.568489
3173,3902-MIVLE,0.020972
3174,0409-WTMPL,0.276118
3175,8763-KIAFH,0.042794
3176,3669-WHAFY,0.054684
3177,3055-VTCGS,0.080567
3178,3144-KMTWZ,0.395246
3179,2007-QVGAW,0.003106
3180,5207-PLSTK,0.274165
3181,2307-FYNNL,0.188584
3182,5605-XNWEN,0.005477
3183,2155-AMQRX,0.134613
3184,6181-AXXYF,0.002864
3185,5091-HFAZW,0.543158
3186,2519-LBNQL,0.360805
3187,8623-ULFNQ,0.236829
3188,1568-LJSZU,0.016742
3189,7789-HKSBS,0.369571
3190,7416-CKTEP,0.006602
3191,2586-CWXVV,0.179546
3192,2348-KCJLT,0.069217
3193,8401-EMUWF,0.082404
3194,4193-IBKSW,0.002925
3195,5377-NDTOU,0.011305
3196,2474-LCNUE,0.219089
3197,0839-QNXME,0.009295
3198,3506-OVLKD,0.025059
3199,6650-VJONK,0.543335
3200,2178-PMGCJ,0.438195
3201,7492-TAFJD,0.082348
3202,2773-MADBQ,0.032009
3203,6016-LVTJQ,0.035357
3204,7860-KSUGX,0.006719
3205,8966-KZXXA,0.004491
3206,5149-QYTTU,0.007928
3207,2070-XYMFH,0.543708
3208,2085-BOJKI,0.359395
3209,0817-HSUSE,0.465123
3210,5442-PPTJY,0.009235
3211,1927-QEWMY,0.003473
3212,1663-MHLHE,0.240118
3213,5663-QBGIS,0.046250
3214,4450-MDZFX,0.191265
3215,6701-DHKWQ,0.034130
3216,7554-AKDQF,0.328005
3217,0794-YVSGE,0.002836
3218,5423-BHIXO,0.263946
3219,6908-VVYHM,0.431361
3220,2959-EEXWB,0.091703
3221,1839-UMACK,0.022731
3222,3030-YDNRM,0.695953
3223,7321-KKSDU,0.004336
3224,3402-XRIUO,0.228904
3225,8286-AFUYI,0.362813
3226,8356-WUAOJ,0.605139
3227,8058-DMYRU,0.469096
3228,9350-ZXYJC,0.052983
3229,8958-JPTRR,0.018821
3230,6959-GQEGV,0.188657
3231,3173-WSSUE,0.002805
3232,1265-HVPZB,0.049466
3233,4115-UMJFQ,0.083259
3234,7369-TRPFD,0.033778
3235,1098-KFQEC,0.003119
3236,7190-XHTWJ,0.020531
3237,3537-RYBHH,0.167684
3238,5296-BFCYD,0.004257
3239,9359-JANWS,0.015889
3240,3279-DYZQM,0.002838
3241,0523-VNGTF,0.128734
3242,9575-IWCAZ,0.076860
3243,7105-MXJLL,0.157733
3244,7064-FRRSW,0.281304
3245,7940-UQQUG,0.021752
3246,3961-SXAXY,0.543322
3247,7010-BRBUU,0.002853
3248,3566-HJGPK,0.537126
3249,3062-ICYZQ,0.221376
3250,9938-PRCVK,0.004035
3251,0973-KYVNF,0.009459
3252,5129-HHMZC,0.018778
3253,9637-CDTKZ,0.051734
3254,3946-JEWRQ,0.250387
3255,7873-CVMAW,0.007937
3256,0463-WZZKO,0.257020
3257,4524-QCSSM,0.200713
3258,5832-EXGTT,0.134711
3259,2039-JONDJ,0.039844
3260,7217-JYHOQ,0.124382
3261,6695-FRVEC,0.018655
3262,9894-QMIMJ,0.119669
3263,8069-YQQAJ,0.350967
3264,1636-NTNCO,0.614735
3265,3466-WAESX,0.161944
3266,9281-PKKZE,0.294928
3267,3638-VBZTA,0.014109
3268,7459-IMVYU,0.143534
3269,8563-OYMQY,0.467811
3270,0754-EEBDC,0.012766
3271,5777-ZPQNC,0.054732
3272,1951-IEYXM,0.013910
3273,3318-NMQXL,0.732676
3274,1022-RKXDR,0.026288
3275,2361-FJWNO,0.089316
3276,2272-UOINI,0.288462
3277,8232-UTFOZ,0.003364
3278,3750-YHRYO,0.064254
3279,6637-KYRCV,0.250656
3280,5668-MEISB,0.004256
3281,0129-QMPDR,0.024764
3282,7188-CBBBA,0.191829
3283,5356-CSVSQ,0.394101
3284,3221-CJMSG,0.131933
3285,3219-JQRSL,0.011359
3286,2801-NISEI,0.161629
3287,4623-ZKHLY,0.104362
3288,6732-VAILE,0.040922
3289,8201-AAXCB,0.051325
3290,7696-CFTAT,0.004345
3291,1845-CSBRZ,0.290754
3292,2123-VSCOT,0.046311
3293,2018-QKYGT,0.477818
3294,2792-VPPET,0.302916
3295,7409-JURKQ,0.310182
3296,3247-MHJKM,0.240076
3297,1964-SVLEA,0.045658
3298,7297-DVYGA,0.019125
3299,2239-CGBUZ,0.056776
3300,0854-UYHZD,0.009027
3301,7243-LCGGZ,0.242246
3302,8267-KFGYD,0.183928
3303,4890-VMUAV,0.048863
3304,9261-WDCAF,0.491673
3305,3764-MNMOI,0.005322
3306,7442-YGZFK,0.537355
3307,8229-BUJHX,0.002869
3308,7449-HVPIV,0.310081
3309,5504-WSIUR,0.041196
3310,8466-PZBLH,0.007430
3311,8735-IJJEG,0.266041
3312,0564-MUUQK,0.396436
3313,0701-RFGFI,0.349930
3314,0019-EFAEP,0.031075
3315,5619-PTMIK,0.150137
3316,3737-XBQDD,0.502791
3317,5882-CMAZQ,0.175105
3318,5846-QFDFI,0.206784
3319,4445-KWOKW,0.068708
3320,3511-APPBJ,0.184312
3321,7967-HYCDE,0.589988
3322,2430-RRYUW,0.046899
3323,3723-BFBGR,0.229632
3324,5447-WZAFP,0.204035
3325,5110-CHOPY,0.027174
3326,4425-OWHWB,0.041450
3327,7892-QVYKW,0.291943
3328,9675-ICXCT,0.025837
3329,4703-MQYKT,0.015192
3330,5692-ICXLW,0.546374
3331,0602-DDUML,0.032499
3332,2208-MPXIO,0.004471
3333,1960-UYCNN,0.705496
3334,3190-FZATL,0.043351
3335,7336-RLLRH,0.093063
3336,7710-JSYOA,0.010999
3337,9885-MFVSU,0.043980
3338,0607-MVMGC,0.113378
3339,3365-SAIGS,0.501073
3340,8022-BECSI,0.031112
3341,9993-LHIEB,0.017969
3342,0266-CLZKZ,0.017268
3343,7020-OZKXZ,0.590736
3344,3977-QCRSL,0.163331
3345,0017-DINOC,0.018667
3346,7639-OPLNG,0.013123
3347,1492-QGCLU,0.115254
3348,7328-OWMOM,0.022304
3349,4418-LZMSV,0.035865
3350,5155-AZQPB,0.164773
3351,1087-GRUYI,0.009384
3352,2546-KZAAT,0.072755
3353,0181-RITDD,0.007018
3354,5989-PGKJB,0.521001
3355,8272-ONJLV,0.317740
3356,1488-PBLJN,0.013433
3357,0308-GIQJT,0.141046
3358,3778-FOAQW,0.034411
3359,4452-ROHMO,0.020762
3360,3090-LETTY,0.236062
3361,5349-AZPEW,0.187528
3362,9720-JJJOR,0.073360
3363,8100-HZZLJ,0.117796
3364,8775-ERLNB,0.722172
3365,8309-IEYJD,0.702639
3366,7398-HPYZQ,0.011824
3367,3546-GHEAE,0.029514
3368,7361-YPXFS,0.132038
3369,6557-BZXLQ,0.604928
3370,2550-QHZGP,0.053334
3371,7519-JTWQH,0.173411
3372,2538-OIMXF,0.184127
3373,8543-MSDMF,0.396523
3374,1170-SASML,0.366550
3375,4872-JCVCA,0.009075
3376,5346-BZCHP,0.002876
3377,2038-LLMLM,0.482832
3378,1216-BGTSP,0.188852
3379,4138-NAXED,0.257585
3380,0744-BIKKF,0.008992
3381,7483-IQWIB,0.369222
3382,5248-KWLAR,0.013824
3383,7996-MHXLW,0.004633
3384,7833-PKIHD,0.071993
3385,7061-OVMIM,0.029353
3386,5153-RTHKF,0.370436
3387,1852-QSWCD,0.003381
3388,4832-VRBMR,0.246068
3389,9079-LWTFD,0.115481
3390,3392-EHMNK,0.005412
3391,5986-WWXDV,0.020276
3392,3061-BCKYI,0.084312
3393,7901-TBKJX,0.510325
3394,7228-PAQPD,0.181766
3395,7746-QYVCO,0.090722
3396,5804-HYIEZ,0.290060
3397,9919-FZDED,0.018926
3398,5934-TSSAU,0.093470
3399,3486-KHMLI,0.040891
3400,6784-XYJAE,0.117098
3401,3933-DQPWX,0.033323
3402,6661-EIPZC,0.093584
3403,8957-THMOA,0.003128
3404,2251-PYLPB,0.007859
3405,5555-RNPGT,0.094239
3406,1057-FOGLZ,0.075859
3407,8087-LGYHQ,0.716108
3408,4137-BTIKL,0.423926
3409,2190-BCXEC,0.412833
3410,6227-FBDXH,0.180055
3411,2911-WDXMV,0.356495
3412,7206-PQBBZ,0.716483
3413,4547-FZJWE,0.051737
3414,7422-WNBTY,0.559443
3415,0842-IWYCP,0.170811
3416,3521-HTQTV,0.011259
3417,3744-ZBHON,0.256657
3418,3373-DIUUN,0.005148
3419,8383-SGHJU,0.068046
3420,7607-QKKTJ,0.039402
3421,7707-PYBBH,0.139106
3422,8984-HPEMB,0.068198
3423,4139-DETXS,0.009843
3424,9779-DPNEJ,0.160035
3425,9805-FILKB,0.023284
3426,5793-YOLJN,0.003249
3427,0673-IGUQO,0.240065
3428,4123-FCVCB,0.261003
3429,8819-IMISP,0.490935
3430,8311-UEUAB,0.037201
3431,5858-EAFCZ,0.478232
3432,1163-ONYEY,0.119402
3433,5656-MJEFC,0.027083
3434,6082-OQFBA,0.035021
3435,8974-OVACP,0.242278
3436,4010-YLMVT,0.365083
3437,1379-FRVEB,0.411225
3438,8612-GXIDD,0.016138
3439,6288-CHQJB,0.022709
3440,8160-HOWOX,0.421723
3441,6648-INWPS,0.050865
3442,4223-BKEOR,0.062162
3443,4079-VTGLK,0.112143
3444,1763-WQFUK,0.383160
3445,1391-UBDAR,0.608199
3446,8894-JVDCV,0.236995
3447,2023-VQFDL,0.086853
3448,1345-GKDZZ,0.098451
3449,2014-MKGMH,0.287367
3450,5628-FCGYG,0.577966
3451,2560-WBWXF,0.004665
3452,0248-IPDFW,0.596227
3453,7978-DKUQH,0.498729
3454,4335-UPJSI,0.005342
3455,1784-EZDKJ,0.341020
3456,9297-FVVDH,0.042385
3457,8007-YYPWD,0.025415
3458,7101-HRBLJ,0.013512
3459,6635-CPNUN,0.364677
3460,5453-YBTWV,0.005102
3461,5039-LZRQT,0.043488
3462,2931-VUVJN,0.123446
3463,6418-PIQSP,0.021851
3464,8220-OCUFY,0.073913
3465,3995-WFCSM,0.534921
3466,1895-QTKDO,0.461044
3467,2038-OEQZH,0.662770
3468,1178-PZGAB,0.031504
3469,2626-VEEWG,0.003014
3470,2878-RMWXY,0.045928
3471,1657-DYMBM,0.005034
3472,7311-MQJCH,0.071933
3473,7375-WMVMT,0.034828
3474,1136-XGEQU,0.116789
3475,2530-FMFXO,0.030587
3476,6844-DZKRF,0.368102
3477,5970-GHJAW,0.003428
3478,8879-XUAHX,0.081626
3479,3689-MOZGR,0.188930
3480,4195-PNGZS,0.002989
3481,5003-XZWWO,0.034454
3482,7622-FWGEW,0.025394
3483,6922-NCEDI,0.017350
3484,9891-NQDBD,0.034434
3485,6131-IUNXN,0.043496
3486,8548-AWOFC,0.079373
3487,9798-DRYDS,0.256147
3488,8532-UEFWH,0.003558
3489,6296-DDOOR,0.281943
3490,7951-VRDVK,0.065728
3491,4815-YOSUK,0.011222
3492,0380-NEAVX,0.309121
3493,4365-MSDYN,0.214025
3494,7036-TYDEC,0.162742
3495,5802-ADBRC,0.309443
3496,8076-FEZKJ,0.047937
3497,5197-YPYBZ,0.009446
3498,4312-GVYNH,0.021900
3499,8495-LJDFO,0.190452
3500,0839-JTCUD,0.011491
3501,5494-WOZRZ,0.022679
3502,1302-UHBDD,0.496081
3503,2234-EOFPT,0.011963
3504,8619-IJNDK,0.005183
3505,8378-LKJAF,0.368217
3506,1153-GNOLC,0.162047
3507,3298-QEICA,0.046088
3508,0788-DXBFY,0.019531
3509,3597-YASZG,0.159660
3510,3496-LFSZU,0.668134
3511,5242-UOWHD,0.003679
